course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,course_title_clean
Costos para los Negocios,Universidad de Chile,COURSE,4.8,Intermediate,43k,Costos para los Negocios
Crash Course on Python,Google,COURSE,4.8,Beginner,81k,Crash Course on Python
Creative Problem Solving,University of Minnesota,COURSE,4.3,Intermediate,140k,Creative Problem Solving
Creative Writing,Wesleyan University,SPECIALIZATION,4.6,Beginner,140k,Creative Writing
Creative Writing: The Craft of Plot,Wesleyan University,COURSE,4.7,Intermediate,120k,Creative Writing The Craft of Plot
"Creatividad, diseño e innovación: Técnicas y herramientas",Arizona State University,SPECIALIZATION,4.7,Beginner,150k,Creatividad diseo e innovacin Tcnicas y herramientas
Cuidado de heridas en el ámbito hospitalario,Universidad Nacional Autónoma de México,COURSE,4.8,Intermediate,26k,Cuidado de heridas en el mbito hospitalario
Cuidados y procedimientos generales en la atención del recién nacido,Universidad de Chile,COURSE,4.8,Intermediate,22k,Cuidados y procedimientos generales en la atencin del recin nacido
Culture-Driven Team Building,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,17k,CultureDriven Team Building
Curanderismo: Traditional Healing Using Plants,University of New Mexico,COURSE,4.6,Beginner,5.5k,Curanderismo Traditional Healing Using Plants
Customer Segmentation and Prospecting,Northwestern University,COURSE,4.7,Beginner,18k,Customer Segmentation and Prospecting
Cybersecurity,"University of Maryland, College Park",SPECIALIZATION,4.5,Intermediate,99k,Cybersecurity
Cybersecurity and Its Ten Domains,University System of Georgia,COURSE,4.2,Beginner,140k,Cybersecurity and Its Ten Domains
Cybersecurity for Business,University of Colorado System,SPECIALIZATION,4.6,Beginner,23k,Cybersecurity for Business
Cómo hablar bien en público,Universitat Autònoma de Barcelona,COURSE,4.8,Beginner,55k,Cmo hablar bien en pblico
Dairy Production and Management,The Pennsylvania State University,COURSE,4.8,Intermediate,23k,Dairy Production and Management
Data Analysis and Interpretation,Wesleyan University,SPECIALIZATION,4.4,Beginner,100k,Data Analysis and Interpretation
Data Analysis and Presentation Skills: the PwC Approach,PwC,SPECIALIZATION,4.6,Beginner,220k,Data Analysis and Presentation Skills the PwC Approach
Data Analysis with Python,IBM,COURSE,4.7,Beginner,110k,Data Analysis with Python
Data Analytics for Lean Six Sigma,University of Amsterdam,COURSE,4.8,Beginner,24k,Data Analytics for Lean Six Sigma
Data Collection and Processing with Python,University of Michigan,COURSE,4.7,Intermediate,19k,Data Collection and Processing with Python
Data Engineering on Google Cloud Platform 日本語版,Google Cloud,SPECIALIZATION,4.4,Intermediate,3k,Data Engineering on Google Cloud Platform 
Data Engineering with Google Cloud,Google Cloud,PROFESSIONAL CERTIFICATE,4.6,Intermediate,120k,Data Engineering with Google Cloud
"Data Engineering, Big Data, and Machine Learning on GCP",Google Cloud,SPECIALIZATION,4.6,Intermediate,120k,Data Engineering Big Data and Machine Learning on GCP
Data Management for Clinical Research,Vanderbilt University,COURSE,4.7,Beginner,42k,Data Management for Clinical Research
Data Mining,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.4,Intermediate,140k,Data Mining
Data Science,Johns Hopkins University,SPECIALIZATION,4.5,Beginner,830k,Data Science
